feature,selection_freq_mean,stable
worst_radius,1,TRUE
worst_texture,0.9997,TRUE
worst_concave_points,0.99895,TRUE
worst_area,0.99865,TRUE
worst_perimeter,0.99525,TRUE
mean_concave_points,0.9944500000000001,TRUE
worst_smoothness,0.99165,TRUE
se_radius,0.9887,TRUE
worst_concavity,0.9868,TRUE
worst_symmetry,0.9841,TRUE
mean_texture,0.9214,TRUE
mean_concavity,0.92135,TRUE
mean_radius,0.9206,TRUE
se_fractal_dimension,0.91805,TRUE
se_area,0.9144,TRUE
mean_area,0.91415,TRUE
mean_perimeter,0.89755,TRUE
se_compactness,0.86665,TRUE
se_perimeter,0.81745,TRUE
mean_fractal_dimension,0.758,TRUE
se_symmetry,0.5791,FALSE
se_smoothness,0.5261,FALSE
se_texture,0.48235,FALSE
worst_fractal_dimension,0.43695,FALSE
mean_smoothness,0.42974999999999997,FALSE
mean_symmetry,0.37675,FALSE
se_concave_points,0.3572,FALSE
worst_compactness,0.29935,FALSE
se_concavity,0.22235,FALSE
mean_compactness,0.175,FALSE
